period,index_orig,Datetime,G_Gh,HT,MT,CT,Tamb,Power,gas_price,electricity_price,dh_price,Dampfleistung in MW
9,6154,2019-03-06 02:30:00,0,854.9549918784,854.193442704,163.57104648749,1.5952846,320,20.46,112.35681438612333,80.0,0.859473973
9,6155,2019-03-06 02:45:00,0,830.5219869408,870.6407587584,167.312207023303,1.68132566666667,360,20.46,113.35891919900001,80.0,0.609249118
9,6156,2019-03-06 03:00:00,0,854.583657312,868.732710048,167.817423025767,1.74337066666667,312,20.46,114.30381580487166,80.0,1.097145544
9,6157,2019-03-06 03:15:00,0,846.2835093888,884.9074018848,174.428847547372,1.79963226666667,360,20.46,115.18745778053429,80.0,1.101588976
9,6158,2019-03-06 03:30:00,0,848.3422609536,902.295051504,178.807814999421,1.85589366666667,360,20.46,116.00606101948128,80.0,0.671626972
9,6159,2019-03-06 03:45:00,0,878.7201499776,969.4096267296,147.946111444632,1.89388213333333,360,20.46,116.75611993695307,80.0,1.278430462
9,6160,2019-03-06 04:00:00,0,876.7327209312,990.6292977504,133.698747690519,1.76243706666667,320,20.46,117.43442248224571,80.0,1.192871806
9,6161,2019-03-06 04:15:00,0,876.5064354144,956.659644864,131.143049716949,1.58970293333333,288,20.46,118.03806389399006,80.0,1.576576111
9,6162,2019-03-06 04:30:00,0,906.9507826848,961.772275968,129.498085522652,1.41696873333333,280,20.46,118.56445913949554,80.0,1.594652527
9,6163,2019-03-06 04:45:00,0,922.4200675872,1043.6344406208,136.566613705953,1.2848378,312,20.46,119.01135398488869,80.0,1.399092306
9,6164,2019-03-06 05:00:00,0,891.6449914848,654.0042910464,142.349799374739,1.43507553333333,368,20.46,119.37683464863944,80.0,1.199615952
9,6165,2019-03-06 05:15:00,0,895.9867719264,880.700475312,144.398756253719,1.63947966666667,312,20.46,119.65933599713506,80.0,0.842224487
9,6166,2019-03-06 05:30:00,0,684.6140173152,1058.5620247776,154.505350089073,1.8451694,504,20.46,119.85764824720496,80.0,1.321734901
9,6167,2019-03-06 05:45:00,0,758.74549968,1044.0994296096,163.068132261435,2.09872666666667,592,20.46,119.97092214689363,80.0,1.570113922
9,6168,2019-03-06 06:00:00,0,924.5979511104,1006.5872034624,149.344854374727,1.911014,488,20.46,119.99867261229531,80.0,1.508669421
9,6169,2019-03-06 06:15:00,0,871.622785488,957.545202768,136.112374909719,2.55527546666667,504,20.46,119.9407808048763,80.0,1.379541955
9,6170,2019-03-06 06:30:00,0,970.9112722848,926.0783292768,136.845085954666,2.42513553333333,512,20.46,119.79749464038889,80.0,1.334987774
9,6171,2019-03-06 06:45:00,0,927.9680708256,793.1420127456,153.350878703594,2.38965906666667,536,20.46,119.5694277271974,80.0,1.262739273
9,6172,2019-03-06 07:00:00,16,945.1461901056,831.5452943616,176.358262066046,1.7720688,600,20.46,119.25755673856308,80.0,1.697054973
9,6173,2019-03-06 07:15:00,13,942.7124604576,833.2510393536,180.616844717662,1.850866,728,20.46,118.86321723014063,80.0,1.839789143
9,6174,2019-03-06 07:30:00,13,968.4513088992,837.0976848192,166.615183552106,2.2399092,736,20.46,118.38809792059746,80.0,1.746221355
9,6175,2019-03-06 07:45:00,12,929.36489184,779.3288322624,142.882956198851,2.67219953333333,672,20.46,117.83423345984858,80.0,1.776965024
9,6176,2019-03-06 08:00:00,13,949.9890780576,796.68119664,133.564322602749,2.69417593333333,608,20.46,117.20399571587602,80.0,1.306557809
9,6177,2019-03-06 08:15:00,12,936.3725766528,783.5528577408,154.417532014847,2.7612536,560,20.46,116.50008361744726,80.0,1.398904848
9,6178,2019-03-06 08:30:00,44,1010.2367907072,757.4107642752,174.891545339425,2.55176246666667,640,20.46,115.7255115962258,80.0,1.749287152
9,6179,2019-03-06 08:45:00,68,956.4363549888,790.7545509696,198.801007064184,2.26754673333333,696,20.46,114.88359667777924,80.0,1.820566967
9,6180,2019-03-06 09:00:00,64,926.4146598336,832.776573888,191.420245675246,2.20048506666667,672,20.46,113.97794427675356,80.0,1.751946907
9,6181,2019-03-06 09:15:00,62,840.4430915328,795.5849272224,157.287220819791,2.46238473333333,608,20.46,113.01243275705389,80.0,1.563481341
9,6182,2019-03-06 09:30:00,52,785.3898484992,872.7547526208,131.000969139735,2.72294353333333,592,20.46,111.99119682314709,80.0,2.2048837
9,6183,2019-03-06 09:45:00,28,842.40222864,821.919643776,128.013189514478,2.27484606666667,544,20.46,110.91860981361225,80.0,1.532512561
9,6184,2019-03-06 10:00:00,29,809.9450789472,854.9921145024,154.880156250795,1.97202186666667,512,20.46,109.79926497276489,80.0,1.833654441
9,6185,2019-03-06 10:15:00,32,813.5160420576,862.253333088,181.384082738558,1.70148153333333,512,20.46,108.63795578055735,80.0,2.616233446
9,6186,2019-03-06 10:30:00,64,837.5753667456,895.9542948384,199.770872592926,1.7278852,592,20.46,107.43965542499046,80.0,1.981848064
9,6187,2019-03-06 10:45:00,122,969.224871782259,829.510428768,194.302626200517,1.9241728,624,20.46,106.20949550494393,80.0,1.246704003
9,6188,2019-03-06 11:00:00,107,886.0889879072316,952.9878652896,173.272294616699,2.193619,568,20.46,104.95274405462821,80.0,1.750612452
9,6189,2019-03-06 11:15:00,70,837.3336238848,899.568288528,171.070228274663,2.70297626666667,616,20.46,103.67478298376615,80.0,1.592880029
9,6190,2019-03-06 11:30:00,56,761.5551781824,1004.0919444192,182.237255334854,2.4453526,584,20.46,102.38108503011424,80.0,1.653934803
9,6191,2019-03-06 11:45:00,37,852.0560211744,910.7232641472,178.973600474993,2.38378053333333,552,20.46,101.07719032302214,80.0,2.398838095
9,6192,2019-03-06 12:00:00,46,898.5297445824,925.6640516256,178.697440393766,2.4349662,528,20.46,99.7686826583947,80.0,2.048412111
9,6193,2019-03-06 12:15:00,76,858.7048456224,966.517784736,174.001513846715,2.48615173333333,496,20.46,98.46116558665618,80.0,2.057807708
9,6194,2019-03-06 12:30:00,81,898.6315693152,1002.6907216032,155.041221344471,2.58244453333333,504,20.46,97.16023841611803,80.0,1.817239328
9,6195,2019-03-06 12:45:00,97,924.781497696,1046.69259072,149.688738600413,3.03268326666667,512,20.46,95.87147223451286,80.0,1.652532419
9,6196,2019-03-06 13:00:00,79,842.500211952,1059.730256256,153.756640386581,2.80181353333333,528,20.46,94.60038605138031,80.0,1.670145885
9,6197,2019-03-06 13:15:00,72,958.0029088896,1058.91133992,165.211073366801,3.02983046666667,528,20.46,93.35242316347234,80.0,1.875999007
